id,name,genre,grade_int,rating,ascents_done_count,overhang,vertical,slab,crag_name
193932,Maja,Traditional,400,1.6,5,0.0,1.0,1.0,Dyviksudd
44253,Cowboys on Acid,Sport,900,1.5455,11,0.0,1.0,0.0,Örnberget
41939,Salt Sill,Sport,900,1.5294,17,1.0,0.0,0.0,Finnsvedsberget
38547,Diana,Sport,600,1.5286,70,0.0,0.0,1.0,Dödskalleberget
316580,Helvites Dynamo,Sport,650,1.5,2,1.0,0.0,0.0,Träskberget
174254,Idiotsprickan,Traditional,400,1.5,2,0.0,1.0,0.0,Häggsta
27455,Zorro,Sport,1000,1.5,8,1.0,0.0,0.0,Dyviksudd
214068,Waves,Sport,650,1.5,14,0.0,1.0,0.0,Dyviksudd
51362,Stortorsk,Sport,950,1.5,2,1.0,0.0,0.0,Finnsvedsberget
245786,Blod eller guld,Traditional,500,1.5,2,0.0,0.0,1.0,Träskberget
216467,Getost i en rullstol,Boulder,300,1.5,2,1.0,0.0,0.0,Harberget
44241,Stairway to heaven,Sport,1050,1.5,6,1.0,0.0,0.0,Örnberget
77226,Den ofullbordade,Traditional,600,1.5,2,1.0,0.0,0.0,Skevik
41821,Jamdomsprovet,Traditional,700,1.5,2,1.0,0.0,0.0,Noret
57112,Highway from hell,Sport,900,1.5,2,1.0,0.0,0.0,Flaten
126958,Drakkar höger,Sport,650,1.5,2,1.0,0.0,0.0,Henriksdal
300288,Dior,Sport,800,1.5,2,1.0,0.0,0.0,Henriksdal
38553,Dragos,Sport,900,1.4737,19,0.0,1.0,0.0,Dödskalleberget
158315,Grodan Boll original,Sport,750,1.4286,14,0.0,0.0,1.0,Örnberget
57621,Le Chiffre,Sport,1000,1.4167,12,1.0,0.0,0.0,Träskberget
38557,Diana direkt,Sport,800,1.4,10,0.0,1.0,0.0,Dödskalleberget
56743,Goddag yxskaft,Traditional,750,1.4,5,1.0,1.0,0.0,Dyviksudd
43925,Svettiga grisen,Traditional,400,1.4,10,0.0,0.0,1.0,Gritstoneberget
39242,Snövitt,Sport,700,1.3929,28,0.0,1.0,0.0,Älvnäs
41160,I'll be back,Sport,1000,1.3889,18,1.0,0.0,0.0,Örnberget
38559,Fantomen,Sport,900,1.3889,19,0.0,1.0,0.0,Dödskalleberget
57084,Rammstein,Sport,900,1.375,8,1.0,0.0,0.0,Flaten
41937,Älska mig,Sport,850,1.3721,43,0.0,1.0,0.0,Örnberget
45980,Result redan i dag,Sport,750,1.3636,11,1.0,0.0,0.0,Saharaväggen
49891,Breña,Sport,850,1.3571,14,0.0,1.0,0.0,Ekoberget
96494,Sonny’s crack,Traditional,400,1.3529,17,0.0,0.0,1.0,Träskberget
35187,Himmler,Sport,700,1.3418,79,1.0,0.0,1.0,Gåseborg
29518,Dödligt Möte,Sport,1000,1.3333,21,1.0,0.0,0.0,Örnberget
65727,Chippad av staten,Sport,750,1.3333,27,1.0,0.0,0.0,Törnskogsklippan
49926,Svarta änkan,Sport,950,1.3333,6,0.0,0.0,1.0,Örnberget
289811,Arêten,Sport,900,1.3333,3,1.0,0.0,0.0,Flaten
297658,"Uti det fria, sportvariant",Sport,850,1.3333,3,1.0,0.0,0.0,Dyviksudd
171484,Hamlet,Partially bolted,700,1.3333,3,1.0,0.0,0.0,Skevik
148112,Utan pardon,Sport,800,1.3333,12,0.0,1.0,1.0,Dyviksudd
74684,På vårkanten,Sport,800,1.3333,12,1.0,0.0,0.0,Sjötorpsberget
12160,Tabu,Sport,800,1.3163,100,1.0,0.0,0.0,Skevik
29521,Tintin Direkt,Sport,950,1.3158,19,1.0,0.0,0.0,Finnsvedsberget
41921,Sumitomo,Sport,950,1.3158,19,1.0,0.0,1.0,Flaten
149699,Tyresö Express,Sport,650,1.3056,36,1.0,0.0,1.0,Dyviksudd
39220,Kojak,Sport,950,1.2963,27,1.0,0.0,0.0,Flaten
43197,Freaky Deaky direkt ,Sport,800,1.2881,59,1.0,0.0,0.0,Nacka Kvarn
39597,Reptilen,Sport,950,1.2857,7,1.0,0.0,0.0,Dyviksudd
27566,Kattöga,Sport,850,1.2857,14,1.0,0.0,0.0,Finnsvedsberget
21173,Rakt på sak,Sport,850,1.2676,71,1.0,0.0,0.0,Örnberget
28696,Megadans,Sport,900,1.2603,73,1.0,0.0,0.0,Skevik
57079,Mickes 30-årsfest,Sport,1050,1.25,8,1.0,0.0,0.0,Flaten
292612,Fläsket brinner,Sport,550,1.25,8,0.0,0.0,1.0,Träskberget
42278,Finnkampen,Sport,800,1.25,4,1.0,0.0,0.0,Finnsvedsberget
45981,Sträckolin,Sport,900,1.25,12,1.0,0.0,0.0,Saharaväggen
26876,Drive in,Sport,550,1.25,8,1.0,0.0,1.0,Anneberg
47217,No exit,Traditional,400,1.25,4,0.0,0.0,1.0,Gritstoneberget
300306,Drakkar,Sport,750,1.25,4,1.0,0.0,0.0,Henriksdal
48793,Bengts bultspricka,Traditional,650,1.25,4,1.0,0.0,0.0,Häggsta
42277,Hookabam,Sport,800,1.2353,17,1.0,0.0,0.0,Saharaväggen
42308,Curry corner,Sport,700,1.2308,13,1.0,0.0,0.0,Saharaväggen
41922,Hallucogenia,Sport,950,1.2143,14,1.0,0.0,0.0,Ekoberget
90253,Pers spricka,Traditional,380,1.2,5,0.0,0.0,1.0,Klövberget
